Date,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu)
2003-01-02,31.85,31.1,29.91,28.84,5.251,5.131,4.821000000000001,4.691
2003-01-03,33.08,32.22,30.84,29.62,5.343999999999999,5.22,4.945,4.795
2003-01-06,32.1,31.44,30.17,28.99,4.935,4.87,4.731,4.633
2003-01-07,31.08,30.55,29.63,28.73,5.127000000000001,5.047,4.875,4.755
2003-01-08,30.56,30.06,29.29,28.52,5.1610000000000005,5.111000000000001,4.933,4.813
2003-01-09,31.99,31.28,30.32,29.38,5.303999999999999,5.229,5.029,4.904
2003-01-10,31.68,30.96,30.0,29.04,5.143,5.0680000000000005,4.873,4.753
2003-01-13,32.26,31.59,30.64,29.64,5.251,5.172000000000001,4.93,4.802
2003-01-14,32.37,31.78,30.96,29.97,5.107,5.055,4.8580000000000005,4.756
2003-01-15,33.21,32.45,31.52,30.48,5.43,5.355,5.067,4.912
2003-01-16,33.66,32.81,31.83,30.82,5.645,5.603,5.223,5.018
2003-01-17,33.91,32.96,31.96,30.95,5.5360000000000005,5.502999999999999,5.148,4.958
2003-01-21,34.61,33.19,32.01,30.96,5.433,5.432,5.127000000000001,4.945
2003-01-22,32.85,31.79,30.77,29.78,5.672999999999999,5.608,5.233,5.018
2003-01-23,32.25,31.39,30.46,29.55,5.457999999999999,5.425,5.125,4.928999999999999
2003-01-24,33.28,32.16,31.12,30.13,5.524,5.465,5.103,4.89
2003-01-27,32.29,31.39,30.49,29.6,5.396,5.291,4.965,4.79
2003-01-28,32.67,31.82,30.94,30.07,5.444,5.359,5.0,4.81
2003-01-29,33.63,32.71,31.72,30.75,5.66,5.629,5.234,4.968999999999999
2003-01-30,33.85,32.96,31.95,30.96,5.582999999999999,5.27,4.98,4.88
2003-01-31,33.51,32.74,31.8,30.86,5.605,5.345,5.027,4.899
2003-02-03,32.76,32.16,31.34,30.52,5.766,5.485,5.162999999999999,4.993
2003-02-04,33.58,32.91,32.04,31.15,5.7620000000000005,5.5120000000000005,5.212000000000001,5.0489999999999995
2003-02-05,33.93,33.27,32.37,31.45,5.644,5.414,5.171,5.061
2003-02-06,34.16,33.33,32.4,31.45,5.827999999999999,5.577999999999999,5.297999999999999,5.1579999999999995
2003-02-07,35.12,34.25,33.13,32.03,6.042999999999999,5.78,5.4479999999999995,5.2829999999999995
