yearmon,Date,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu)
2003,2003-01-31,33.51,32.74,31.8,30.86,5.605,5.345,5.027,4.899
2003.08333333333,2003-02-28,36.6,34.83,33.28,31.98,8.101,6.071,5.761,5.651
2003.16666666667,2003-03-31,31.04,29.19,28.22,27.64,5.06,5.1,5.115,5.135
2003.25,2003-04-30,25.8,25.46,25.29,25.14,5.385,5.465,5.51,5.49
2003.33333333333,2003-05-30,29.56,28.49,27.75,27.28,6.251,6.31,6.296,6.296
2003.41666666667,2003-06-30,30.19,29.77,29.27,28.83,5.411,5.453,5.483,5.651
2003.5,2003-07-31,30.54,30.25,29.78,29.32,4.718,4.748,4.983,5.228
2003.58333333333,2003-08-29,31.57,31.31,30.83,30.28,4.731,4.981,5.251,5.401
2003.66666666667,2003-09-30,29.2,28.92,28.48,28.08,4.83,5.082,5.262,5.212
2003.75,2003-10-31,29.11,28.85,28.57,28.29,4.893,5.129,5.119,5.014
2003.83333333333,2003-11-26,30.41,30.22,29.84,29.45,4.925,4.962,4.882,4.602
2003.91666666667,2003-12-31,32.52,32.28,31.83,31.3,6.189,5.996,5.277,5.112
2004,2004-01-30,33.05,32.1,31.49,30.98,5.397,5.113,5.033,5.038
2004.08333333333,2004-02-27,36.16,35.24,34.42,33.8,5.416,5.461,5.486,5.511
2004.16666666667,2004-03-31,35.76,35.08,34.55,34.07,5.933,5.983,6.019,6.038
2004.25,2004-04-30,37.38,37.08,36.71,36.24,5.862,5.95,5.994,5.979
2004.33333333333,2004-05-28,39.88,39.71,39.35,38.85,6.442,6.489,6.464,6.482
2004.41666666667,2004-06-30,37.05,37.14,36.99,36.84,6.155,6.174,6.214,6.453
2004.5,2004-07-30,43.8,43.05,42.49,41.99,6.112,6.182,6.546,6.841
2004.58333333333,2004-08-31,42.12,42.04,41.75,41.37,5.074,5.717,6.302,6.637
