,breakeven_inflation,CPI for Energy,M2SL in Billions of Dollars,ACDGNO in Million of Dollars,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu),Global Price U.S. Dollars per Barrel,NG Consumption Billion Cubic Feet
2003-01-01,1.76,62.8403854210306,5793.0,34936.0,32.7,31.87,30.87,29.89,5.381,5.294,5.01,4.853,32.9152173913043,1937.9
2003-02-01,1.91,66.7340249882944,5829.2,34336.0,35.73,34.43,33.16,31.97,6.657,5.962999999999999,5.5870000000000015,5.416,35.8525,2029.8
2003-03-01,1.87,70.2826585179526,5849.9,34082.0,33.16,31.69,30.48,29.66,5.7860000000000005,5.541,5.441,5.398,33.3157142857143,1865.7
2003-04-01,1.78,68.0647625619163,5887.1,33536.0,28.14,26.98,26.52,26.21,5.358,5.43,5.465,5.466,28.3281818181818,1833.6
2003-05-01,1.66,66.0440129130831,5947.3,34324.0,28.07,27.54,27.03,26.62,5.926,6.007999999999999,6.042000000000002,6.016,28.2018181818182,1823.0
2003-06-01,1.61,67.2761773331033,5984.0,34353.0,30.52,29.49,28.85,28.3,5.925,6.005,6.021,6.057,30.71,1689.5
2003-07-01,1.87,67.4240370635058,6030.6,36246.0,30.7,30.26,29.75,29.29,5.034,5.047,5.097,5.311,30.734347826087,1807.7
2003-08-01,2.13,69.2969269819365,6088.7,33995.0,31.6,31.42,30.96,30.39,4.978,5.035,5.256,5.479,31.5838095238095,1836.4
2003-09-01,2.08,71.2683900539688,6060.8,36628.0,28.31,28.29,28.0,27.71,4.667,4.898,5.155,5.319,28.4331818181818,1801.2
2003-10-01,2.21,67.4733236403066,6051.5,36308.0,30.35,30.25,29.88,29.46,4.9860000000000015,5.307,5.481,5.428,30.3217391304348,1852.3
