Date,Interest
2003-Q1,1.263333
2003-Q2,1.166667
2003-Q3,1.07
2003-Q4,1.103333
2004-Q1,1.053333
2004-Q2,1.246667
2004-Q3,1.703333
2004-Q4,2.25
2005-Q1,2.783333
2005-Q2,3.23
2005-Q3,3.736667
2005-Q4,4.296667
2006-Q1,4.72
2006-Q2,5.176667
2006-Q3,5.393333
2006-Q4,5.323333
2007-Q1,5.31
2007-Q2,5.316667
2007-Q3,5.423333
2007-Q4,5.023334
2008-Q1,3.23
2008-Q2,2.756667
2008-Q3,3.056667
2008-Q4,2.816667
2009-Q1,1.083333
2009-Q2,0.6166667
2009-Q3,0.3
2009-Q4,0.2233333
2010-Q1,0.2066667
2010-Q2,0.4233333
2010-Q3,0.3366667
2010-Q4,0.28
2011-Q1,0.2833333
2011-Q2,0.22
2011-Q3,0.2866667
2011-Q4,0.4233333
2012-Q1,0.33
2012-Q2,0.3
2012-Q3,0.2666667
2012-Q4,0.2333333
2013-Q1,0.22
2013-Q2,0.1966667
2013-Q3,0.1233333
2013-Q4,0.1266667
2014-Q1,0.1233333
2014-Q2,0.1133333
2014-Q3,0.1266667
2014-Q4,0.1333333
2015-Q1,0.15
2015-Q2,0.1533333
2015-Q3,0.24
2015-Q4,0.3633333
2016-Q1,0.5533333
2016-Q2,0.5566667
2016-Q3,0.7
2016-Q4,0.7666667
2017-Q1,0.9166667
2017-Q2,1.08
2017-Q3,1.24
2017-Q4,1.373333
