AHC20060309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table:0,dattime1,dattime1_type,Price1,Price1_type,vol1,vol1_type,,,,,,,,,,,,,,,,,,,,,,,,
5,2006,",,,maturity,",$28.10 ,"brent crude oil,,average,selling price,",30,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
6,2007,",,,maturity,",25.85,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
7,2008,",,,maturity,",25.56,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
8,2009,",,,maturity,",25.54,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
9,2010,",,,maturity,",25.78,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
10,2011,",,,maturity,",26.37,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
11,2012,",,,maturity,",26.9,"brent crude oil,,average,selling price,",24,"brent crude oil,,thousands of,barrels per day,",,,,,,,,,,,,,,,,,,,,,,,,
APA20060314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table:0,dattime1,dattime1_type,",,instrument type,,",vol1,vol1_type,Price1,Price1_type,Price2,Price2_type,,,,,,,,,,,,,,,,,,,,,
5,2006,",,production period,,",Gas Collars,32850000,"total,volumes,(mmbtu/bbl),,",$5.50/ 6.66,"weighted,average,floor/ceiling,,","$(133,936","fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
6,,",,production period,,",Gas Fixed-Price Swap,4404000,"total,volumes,(mmbtu/bbl),,",5.87,"weighted,average,floor/ceiling,,",Neg21232,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
7,,",,production period,,",Oil Collars,4307000,"total,volumes,(mmbtu/bbl),,",32.07/ 40.66,"weighted,average,floor/ceiling,,",Neg95583,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
8,,",,production period,,",Oil Fixed-Price Swap,224000,"total,volumes,(mmbtu/bbl),,",38.5,"weighted,average,floor/ceiling,,",Neg5365,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
9,,",,production period,,",Oil Put Option,1533000,"total,volumes,(mmbtu/bbl),,",28,"weighted,average,floor/ceiling,,",16,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
10,2007,",,production period,,",Gas Collars,24570000,"total,volumes,(mmbtu/bbl),,",5.25/ 6.20,"weighted,average,floor/ceiling,,",Neg96917,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
11,,",,production period,,",Gas Fixed-Price Swap,1761000,"total,volumes,(mmbtu/bbl),,",5.57,"weighted,average,floor/ceiling,,",Neg7997,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
12,,",,production period,,",Oil Collars,1911000,"total,volumes,(mmbtu/bbl),,",33.00/ 39.25,"weighted,average,floor/ceiling,,",Neg45533,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
13,,",,production period,,",Oil Fixed-Price Swap,78000,"total,volumes,(mmbtu/bbl),,",36.89,"weighted,average,floor/ceiling,,",Neg1982,"fair value,asset/,(liability),,(in thousands)",,,,,,,,,,,,,,,,,,,,,
APA20070301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
