,doc_id,maturity,vol_1,vol_1_type,average strike price,price_1,price_1_type,price_2,price_2_type,sfas 133 hedge,product_type,instrument_type,price_3,price_3_type,price_4,price_4_type,sfas 133hedge,premiumsreceived,net premiumsreceived ($ inthousands),"sfas 133hedge,",sfas 133 hedge,"sfas 133 hedge,","net premiums received ($ in thousands),",netpremiums($ inmillions),"netpremiums($ inmillions),",netpremiums($ in millions),",,",vol_2,vol_2_type,",,,"
2,CHK20030227,2003,57150000,volume,4.31,,put,,weightedaveragedifferential,Yes,natural gas (mmbtu),swaps,,,,,,,,,,,,,,,,,,
4,CHK20030227,2003,51100000,volume,3.60,2.60,put,,weightedaveragedifferential,No,natural gas (mmbtu),cap-swaps,,,,,,,,,,,,,,,,,,
6,CHK20030227,2003,91250000,volume,,,put,Neg0.15,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
7,CHK20030227,2004,91500000,volume,,,put,Neg0.15,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
8,CHK20030227,2005,98550000,volume,,,put,Neg0.16,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
9,CHK20030227,2006,36500000,volume,,,put,Neg0.16,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
10,CHK20030227,2007,45625000,volume,,,put,Neg0.16,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
11,CHK20030227,2008,45750000,volume,,,put,Neg0.16,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
12,CHK20030227,2009,36500000,volume,,,put,Neg0.16,weightedaveragedifferential,No,natural gas (mmbtu),basis protection swaps,,,,,,,,,,,,,,,,,,
14,CHK20030227,2003,45700000,volume,3.74,,put,,weightedaveragedifferential,No,natural gas (mmbtu),counter-swaps,,,,,,,,,,,,,,,,,,
16,CHK20030227,2003,,volume,,,put,,weightedaveragedifferential,No,,@,,,,,,,,,,,,,,,,,,
22,CHK20030227,2003,360000,volume,25.10,,put,,weightedaveragedifferential,Yes,oil (bbls),swaps,,,,,,,,,,,,,,,,,,
24,CHK20030227,2003,3015000,volume,28.10,,put,,weightedaveragedifferential,No,oil (bbls),cap-swaps,,,,,,,,,,,,,,,,,,
3,CHK20040315,2004,171120000,volume,,5.31,weighted average strikeprice,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
4,CHK20040315,2005,45550000,volume,,4.82,weighted average strikeprice,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
5,CHK20040315,2006,25550000,volume,,4.74,weighted average strikeprice,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
6,CHK20040315,2007,25550000,volume,,4.76,weighted average strikeprice,,put,,natural gas (mmbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
9,CHK20040315,2004,157380000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.17,weightedaveragedifferential,No,,,,,,,,,,,,,
10,CHK20040315,2005,109500000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.16,weightedaveragedifferential,No,,,,,,,,,,,,,
11,CHK20040315,2006,47450000,volume,,,weighted average strikeprice,,put,,natural gas (mmbtu),basis protectionswaps,,call,Neg0.16,weightedaveragedifferential,No,,,,,,,,,,,,,
