,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,old_maturity,red_flag,price_2,price_2_type
10,AREX20080328,2008,300000,mmbtu,$8.10,fixed,nymex henry hub,fixed price swaps,natural gas,2nd quarter 2008,,,
11,AREX20080328,2008,300000,mmbtu,$8.63,fixed,nymex henry hub,fixed price swaps,natural gas,4th quarter 2008,,,
13,AREX20080328,2008,2230000,mmbtu,neg0.69,fixed,waha differential,fixed price swaps,natural gas,fixed price swaps 2008,,,
14,AREX20080328,2008,900000,mmbtu,neg0.67,fixed,waha differential,fixed price swaps,natural gas,fixed price swaps 2008 (2nd 4th quarter),,,
15,AREX20080328,2009,2400000,mmbtu,neg0.61,fixed,waha differential,fixed price swaps,natural gas,fixed price swaps 2009,,,
4,AREX20080328,2008,2230000,mmbtu,$7.50,floor,nymex henry hub,collar,natural gas,costless collars 2008,,$11.45,ceiling
5,AREX20080328,2008,300000,mmbtu,$7.00,floor,nymex henry hub,collar,natural gas,costless collars 2008 (3rd quarter),,$9.10,ceiling
6,AREX20080328,2008,1800000,mmbtu,$9.00,floor,nymex henry hub,collar,natural gas,costless collars 2008 (2nd 4th quarter),,$12.20,ceiling
7,AREX20080328,2009,2160000,mmbtu,$7.50,floor,nymex henry hub,collar,natural gas,costless collars 2009,,$10.50,ceiling
8,AREX20080328,2009,1560000,mmbtu,$8.50,floor,nymex henry hub,collar,natural gas,costless collars 2009,,$11.70,ceiling
4,AREX20080328,2008,2230000,mmbtu,$7.50,floor,nymex henry hub,collar,natural gas,costless collar 2008,,$11.45,ceiling
5,AREX20080328,2009,2160000,mmbtu,$7.50,floor,nymex henry hub,collar,natural gas,costless collar 2009,,$10.50,ceiling
8,AREX20080328,2008,900000,mmbtu,$(0.67,fixed,waha differential,swap fixed price,natural gas,fixed price swaps 2008 (2nd 4th quarter),,,
10,AREX20080328,2008,300000,mmbtu,$8.10,fixed,waha differential,fixed price swaps,natural gas,2nd quarter 2008,,,
11,AREX20080328,2008,300000,mmbtu,$8.63,fixed,waha differential,fixed price swaps,natural gas,4th quarter 2008,,,
7,AREX20090313,2009,2400000,mmbtu,neg0.61,fixed,waha differential,swap fixed price,natural gas,fixed price swaps 2009,,,
4,AREX20090313,2009,2160000,mmbtu,$7.50,floor,nymex henry hub,collar,natural gas,costless collars 2009,,$10.50,ceiling
5,AREX20090313,2009,1560000,mmbtu,$8.50,floor,nymex henry hub,collar,natural gas,costless collars 2009,,$11.70,ceiling
4,AREX20100312,2010,1800000,mmbtu,$5.85,fixed,nymex henry hub,swap,natural gas,price swaps 2010,,,
5,AREX20100312,2010,1800000,mmbtu,$6.40,fixed,nymex henry hub,swap,natural gas,price swaps 2010,,,
6,AREX20100312,2010,1200000,mmbtu,$6.36,fixed,nymex henry hub,swap,natural gas,price swaps 2010,,,
8,AREX20100312,2010,4980000,mmbtu,$(0.71,fixed,waha basis differential,basis swap,natural gas,basis swaps 2010,,,
9,AREX20100312,2011,3600000,mmbtu,$(0.53,fixed,waha basis differential,basis swap,natural gas,basis swaps 2011,,,
4,AREX20110311,2011,2760000,mmbtu,$4.86,fixed,nymex henry hub,swap,natural gas,price swaps 2011,,,
5,AREX20110311,2012,2760000,mmbtu,$6.00,fixed,nymex henry hub,call,natural gas,price call 2012,,,
7,AREX20110311,2011,3600000,mmbtu,$(0.53,fixed,waha basis differential,basis swap,natural gas,basis swaps 2011,,,
1,AREX20120312,2012,230000 mmbtu/month,volume transacted,$6.00/mmbtu,price,,call,natural gas,natural gas 2012,,,
2,AREX20120312,2012,700 bbls/d,volume transacted,$85.00/bbl $97.50/bbl,price,,collar,oil,crude oil 2012,,,
