CHK20030227
table:0,,Volume,Average Strike Price,Weighted- Average Put Strike Price,Weighted- Average Differential to Mid- Continent Points,SFAS 133 Hedge
0,natural gas (mmbtu),,,,,
1,Swaps,,,,,
2,2003,57150000,4.31,,,Yes
3,Cap-Swaps,,,,,
4,2003,51100000,3.60,2.60,,No
5,Basis Protection Swaps,,,,,
6,2003,91250000,,,Neg0.15,No
7,2004,91500000,,,Neg0.15,No
8,2005,98550000,,,Neg0.16,No
9,2006,36500000,,,Neg0.16,No
10,2007,45625000,,,Neg0.16,No
11,2008,45750000,,,Neg0.16,No
12,2009,36500000,,,Neg0.16,No
13,Counter-Swaps,,,,,
14,2003,45700000,3.74,,,No
15,Locked-Swaps,,,,,
16,2003,,,,,No
20,Oil (bbls),,,,,
21,Swaps,,,,,
22,2003,360000,25.10,,,Yes
23,Cap-Swaps,,,,,
24,2003,3015000,28.10,,,No
CHK20040315
table:0,,Volume,Weighted Average StrikePrice,WeightedAveragePutStrikePrice,Weighted Average Call StrikePrice,Weighted Average Differential,SFAS 133Hedge,PremiumsReceived
1,Natural Gas (mmbtu),,,,,,,
2,Swaps,,,,,,,
3,2004,171120000,5.31,,,,Yes,
4,2005,45550000,4.82,,,,Yes,
5,2006,25550000,4.74,,,,Yes,
6,2007,25550000,4.76,,,,Yes,
8,Basis ProtectionSwaps,,,,,,,
9,2004,157380000,,,,Neg0.17,No,
10,2005,109500000,,,,Neg0.16,No,
11,2006,47450000,,,,Neg0.16,No,
12,2007,63875000,,,,Neg0.17,No,
13,2008,64050000,,,,Neg0.17,No,
14,2009,36500000,,,,Neg0.16,No,
16,Cap-Swaps,,,,,,,
17,2004,29320000,5.31,3.75,,,No,
18,2005,36500000,5.31,3.79,,,No,
19,2006,7300000,5.36,3.75,,,No,
21,Call Options,,,,,,,
22,2004,60760000,,,6.30,,No,16766
24,Locked-Swaps,,,,,,,
25,2004,,,,,,No,
29,Oil (bbls),,,,,,,
31,Cap-Swaps,,,,,,,
32,2004,4516000,28.68,21.76,,,No,
CHK20050309
table:0,,Volume,Weighted-Average FixedPrice to beReceived (Paid),Weighted-AveragePut FixedPrice,Weighted-AverageCall FixedPrice,Weighted-AverageDifferential,SFAS 133Hedge,PremiumsReceived
1,Natural Gas (mmbtu),,,,,,,
2,Swaps,,,,,,,
3,2005,95355000,$6.72,,,,Yes,
4,2006,18250000,6.60,,,,Yes,
6,Basis Protection Swaps,,,,,,,
7,2005,188590000,,,,Neg0.26,No,
8,2006,130140000,,,,Neg0.32,No,
9,2007,126495000,,,,Neg0.28,No,
10,2008,118610000,,,,Neg0.27,No,
11,2009,86600000,,,,Neg0.29,No,
13,Cap-Swaps,,,,,,,
14,2005,60225000,6.00,4.32,,,No,
15,2006,28350000,6.52,4.93,,,No,
17,Counter Swaps,,,,,,,
18,2006,Neg7300000,Neg5.59,,,,No,
20,Call Options,,,,,,,
21,2005,7300000,,,6.00,,No,3249
23,Collars,,,,,,,
24,2005,4380000,,3.10,4.44,,Yes,
26,Locked Swaps,,,,,,,
27,2005,38870000,,,,,No,
28,2006,25550000,,,,,No,
29,2007,25550000,,,,,No,
34,Oil (bbls),,,,,,,
35,Cap-Swaps,,,,,,,
36,2005,1995500,$40.20,$31.44,,,No,
CHK20100301
table:0,",,","Volume,Volume,(bbtu)","Weighted Average Price,Fixed,","Weighted Average Price,Put,(per mmbtu)","Weighted Average Price,Call,(per mmbtu)","Weighted Average Price,Differential,","Cash FlowHedge,Cash FlowHedge,","NetPremiums,NetPremiums,($ in millions)"
3,Natural Gas,,,,,,,
4,Swaps,,,,,,,
5,Q1|2010,63478,$7.59,,,,Yes,
6,Q2|2010,64781,7.27,,,,Yes,
7,Q3|2010,51972,7.32,,,,Yes,
8,Q4|2010,53212,7.40,,,,Yes,
9,2011,22210,7.99,,,,Yes,
11,Other Swaps(a),,,,,,,
12,Q1|2010,33890,7.22,,,,No,
13,Q2|2010,43680,7.61,,,,No,
14,Q3|2010,44160,7.69,,,,No,
15,Q4|2010,44160,8.04,,,,No,
16,2011,70510,9.52,,,,No,
18,Collars,,,,,,,
19,Q1|2010,29700,,6.24,8.06,,Yes,
20,Q2|2010,7280,,7.00,8.25,,Yes,
22,Other Collars(b),,,,,,,
23,Q1|2010,13500,,4.29/7.05,9.49,,No,
24,Q2|2010,9100,,4.35/7.07,9.91,,No,5
25,Q3|2010,3680,,7.60,11.75,,No,4
26,Q4|2010,3680,,7.60,11.75,,No,4
27,2011,7300,,7.60,11.50,,No,7
29,Knockout Swaps,,,,,,,
30,Q3|2010,7360,9.79,6.32,,,No,
31,Q4|2010,7360,9.79,6.31,,,No,
32,2011,23650,9.86,6.29,,,No,
34,Call Options,,,,,,,
35,Q1|2010,18585,,,10.19,,No,41
36,Q2|2010,28665,,,10.19,,No,41
37,Q3|2010,34040,,,10.22,,No,43
38,Q4|2010,34040,,,10.30,,No,43
39,2011,20987,,,10.73,,No,42
40,2012,262605,,,8.46,,No,16
41,2013|2020,597828,,,9.10,,No,102
43,Put Options,,,,,,,
44,Q3|2010,Neg16560,,5.73,,,No,6
45,Q4|2010,Neg16560,,5.73,,,No,6
46,2011,Neg36500,,5.75,,,No,25
48,Basis Protection Swaps,,,,,,,
49,(Non-Appalachian Basin),,,,,,,
50,2011,45090,,,,Neg0.82,No,Neg3
51,2012|2018,57961,,,,Neg0.90,No,Neg3
53,Basis Protection Swaps,,,,,,,
54,(Appalachian Basin),,,,,,,
