AREX20080328
table:0,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Floor,","$/MMBtu,Ceiling,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,,,
4,Costless collars 2008,186000,2230000,$7.50,$11.45,
5,Costless collars 2008 (3rd quarter),100000,300000,$7.00,$9.10,
6,Costless collars 2008 (2nd 4th quarter),200000,1800000,$9.00,$12.20,
7,Costless collars 2009,180000,2160000,$7.50,$10.50,
8,Costless collars 2009,130000,1560000,$8.50,$11.70,
9,Fixed price swaps,,,,,
10,2nd quarter 2008,100000,300000,,,$8.10
11,4th quarter 2008,100000,300000,,,$8.63
12,WAHA differential,,,,,
13,Fixed price swaps 2008,186000,2230000,,,Neg0.69
14,Fixed price swaps 2008 (2nd 4th quarter),100000,900000,,,Neg0.67
15,Fixed price swaps 2009,200000,2400000,,,Neg0.61
AREX20080328
table:1,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Floor,","$/MMBtu,Ceiling,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,,,
4,Costless collar 2008,186000,2230000,$7.50,$11.45,
5,Costless collar 2009,180000,2160000,$7.50,$10.50,
6,WAHA differential,,,,,
7,Fixed price swaps 2008,186000,2230000,,,Neg0.69
8,Fixed price swaps 2009,200000,2400000,,,Neg0.61
AREX20080328
table:2,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Floor,","$/MMBtu,Ceiling,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,,,
4,Costless collars 2008 (3rd quarter),100000,300000,$7.00,$9.10,
5,Costless collars 2008 (2nd 4th quarter),200000,1800000,$9.00,$12.20,
6,Costless collars 2009,130000,1560000,$8.50,$11.70,
7,WAHA differential,,,,,
8,Fixed price swaps 2008 (2nd 4th quarter),100000,900000,,,$(0.67
9,Fixed price swaps,,,,,
10,2nd quarter 2008,100000,300000,,,$8.10
11,4th quarter 2008,100000,300000,,,$8.63
AREX20090313
table:0,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Floor,","$/MMBtu,Ceiling,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,,,
4,Costless collars 2009,180000,2160000,$7.50,$10.50,
5,Costless collars 2009,130000,1560000,$8.50,$11.70,
6,WAHA differential,,,,,
7,Fixed price swaps 2009,200000,2400000,,,Neg0.61
AREX20100312
table:0,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,
4,Price swaps 2010,150000,1800000,$5.85
5,Price swaps 2010,150000,1800000,$6.40
6,Price swaps 2010,100000,1200000,$6.36
7,WAHA basis differential,,,
8,Basis swaps 2010,415000,4980000,$(0.71
9,Basis swaps 2011,300000,3600000,$(0.53
AREX20110311
table:0,",Period,","Volume (MMBtu),Monthly,","Volume (MMBtu),Total,","$/MMBtu,Fixed,"
3,NYMEX Henry Hub,,,
4,Price swaps 2011,230000,2760000,$4.86
5,Price call 2012,230000,2760000,$6.00
6,WAHA basis differential,,,
7,Basis swaps 2011,300000,3600000,$(0.53
AREX20120312
table:0,Commodity and Period,ContractType,Volume Transacted,Contract Price
1,Natural Gas 2012,Call,230000 MMBtu/month,$6.00/MMBtu
2,Crude Oil 2012,Collar,700 Bbls/d,$85.00/Bbl $97.50/Bbl
3,Crude Oil 2012,Collar,500 Bbls/d,$90.00/Bbl $106.10/Bbl
AREX20120312
table:1,Commodity and Period,ContractType,Volume Transacted,Contract Price
1,Natural Gasoline February 2012 December 2012,Swap,225 Bbls/d,$95.55/Bbl
2,Normal Butane March 2012 December 2012,Swap,225 Bbls/d,$73.92/Bbl
3,Crude Oil 2013,Collar,650 Bbls/d,$90.00/Bbl $105.80/Bbl
4,Crude Oil 2014,Collar,550 Bbls/d,$90.00/Bbl $105.50/Bbl
AREX20130228
table:0,Commodity and Time Period,ContractType,Volume Transacted,Contract Price
1,Crude Oil,,,
2,2013,Collar,650 Bbls/d,$90.00/Bbl $105.80/Bbl
3,2013,Collar,450 Bbls/d,$90.00/Bbl $101.45/Bbl
4,2014,Collar,550 Bbls/d,$90.00/Bbl $105.50/Bbl
5,Natural Gas,,,
6,2013,Swap,200000 MMBtu/month,$3.54/MMBtu
7,2013,Swap,190000 MMBtu/month,$3.80/MMBtu
AREX20140225
table:0,Commodity and Period,ContractType,Volume Transacted,Contract Price
1,Crude Oil,,,
2,2014,Collar,550 Bbls/d,$90.00/Bbl $105.50/Bbl
3,2014,Collar,950 Bbls/d,$85.05/Bbl $95.05/Bbl
4,2014,Collar,2000 Bbls/d,$89.00/Bbl $98.85/Bbl
5,2015,Collar,2600 Bbls/d,$84.00/Bbl $91.00/Bbl
